FirstName,LastName,EmailAddress,JoinTime,LeaveTime,MeetingID,MeetingTopic,HostName,ParticipantRole
Michael,Moore,michael.moore@example.com,22-06-2025 09:16,22-06-2025 11:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Alexander,Hernandez,alexander.hernandez@example.com,22-06-2025 09:29,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Liam,Garcia,liam.garcia@example.com,22-06-2025 09:18,22-06-2025 11:58,987654321,Power Query in Excel,Jay Sudha,Attendee
Michael,Martinez,michael.martinez@example.com,22-06-2025 09:21,22-06-2025 11:52,987654321,Power Query in Excel,Jay Sudha,Attendee
Elijah,Taylor,elijah.taylor@example.com,22-06-2025 09:02,22-06-2025 10:55,987654321,Power Query in Excel,Jay Sudha,Attendee
Henry,Wilson,henry.wilson@example.com,22-06-2025 09:11,22-06-2025 10:57,987654321,Power Query in Excel,Jay Sudha,Co-Host
Michael,Davis,michael.davis@example.com,22-06-2025 09:25,22-06-2025 11:52,987654321,Power Query in Excel,Jay Sudha,Co-Host
Harper,Lee,harper.lee@example.com,22-06-2025 09:16,22-06-2025 11:42,987654321,Power Query in Excel,Jay Sudha,Attendee
Lucas,Martin,lucas.martin@example.com,22-06-2025 09:29,22-06-2025 11:48,987654321,Power Query in Excel,Jay Sudha,Attendee
Alexander,Martinez,alexander.martinez@example.com,22-06-2025 09:22,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
James,Smith,james.smith@example.com,22-06-2025 09:02,22-06-2025 11:37,987654321,Power Query in Excel,Jay Sudha,Attendee
Harper,Davis,harper.davis@example.com,22-06-2025 09:08,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Elijah,Martin,elijah.martin@example.com,22-06-2025 09:04,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Charlotte,Lee,charlotte.lee@example.com,22-06-2025 09:13,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Co-Host
Isabella,Gonzalez,isabella.gonzalez@example.com,22-06-2025 09:06,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Sophia,Lee,sophia.lee@example.com,22-06-2025 09:30,22-06-2025 11:40,987654321,Power Query in Excel,Jay Sudha,Attendee
Lucas,Martin,lucas.martin@example.com,22-06-2025 09:16,22-06-2025 11:51,987654321,Power Query in Excel,Jay Sudha,Attendee
Elijah,Lopez,elijah.lopez@example.com,22-06-2025 09:30,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
William,Wilson,william.wilson@example.com,22-06-2025 09:04,22-06-2025 11:50,987654321,Power Query in Excel,Jay Sudha,Attendee
Sophia,Gonzalez,sophia.gonzalez@example.com,22-06-2025 09:23,22-06-2025 11:52,987654321,Power Query in Excel,Jay Sudha,Attendee
Harper,Thomas,harper.thomas@example.com,22-06-2025 09:09,22-06-2025 11:23,987654321,Power Query in Excel,Jay Sudha,Attendee
Amelia,Miller,amelia.miller@example.com,22-06-2025 09:20,22-06-2025 11:49,987654321,Power Query in Excel,Jay Sudha,Attendee
Harper,Jones,harper.jones@example.com,22-06-2025 09:03,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Henry,Gonzalez,henry.gonzalez@example.com,22-06-2025 09:07,22-06-2025 11:35,987654321,Power Query in Excel,Jay Sudha,Attendee
Michael,Gonzalez,michael.gonzalez@example.com,22-06-2025 09:13,22-06-2025 11:09,987654321,Power Query in Excel,Jay Sudha,Attendee
Emma,Martin,emma.martin@example.com,22-06-2025 09:06,22-06-2025 11:40,987654321,Power Query in Excel,Jay Sudha,Attendee
Charlotte,Taylor,charlotte.taylor@example.com,22-06-2025 09:08,22-06-2025 11:56,987654321,Power Query in Excel,Jay Sudha,Attendee
Mia,Williams,mia.williams@example.com,22-06-2025 09:11,22-06-2025 11:49,987654321,Power Query in Excel,Jay Sudha,Attendee
Amelia,Davis,amelia.davis@example.com,22-06-2025 09:13,22-06-2025 11:51,987654321,Power Query in Excel,Jay Sudha,Attendee
Alexander,Miller,alexander.miller@example.com,22-06-2025 09:22,22-06-2025 11:43,987654321,Power Query in Excel,Jay Sudha,Attendee
Sophia,Garcia,sophia.garcia@example.com,22-06-2025 09:22,22-06-2025 11:40,987654321,Power Query in Excel,Jay Sudha,Attendee
Henry,Smith,henry.smith@example.com,22-06-2025 09:25,22-06-2025 11:48,987654321,Power Query in Excel,Jay Sudha,Attendee
Olivia,Lee,olivia.lee@example.com,22-06-2025 09:16,22-06-2025 11:51,987654321,Power Query in Excel,Jay Sudha,Attendee
Isabella,Anderson,isabella.anderson@example.com,22-06-2025 09:13,22-06-2025 11:54,987654321,Power Query in Excel,Jay Sudha,Attendee
Sophia,Anderson,sophia.anderson@example.com,22-06-2025 09:19,22-06-2025 11:43,987654321,Power Query in Excel,Jay Sudha,Attendee
Henry,Moore,henry.moore@example.com,22-06-2025 09:11,22-06-2025 11:37,987654321,Power Query in Excel,Jay Sudha,Attendee
Lucas,Lopez,lucas.lopez@example.com,22-06-2025 09:15,22-06-2025 11:01,987654321,Power Query in Excel,Jay Sudha,Attendee
Henry,Garcia,henry.garcia@example.com,22-06-2025 09:12,22-06-2025 11:36,987654321,Power Query in Excel,Jay Sudha,Attendee
Amelia,Taylor,amelia.taylor@example.com,22-06-2025 09:05,22-06-2025 11:45,987654321,Power Query in Excel,Jay Sudha,Attendee
Alexander,Gonzalez,alexander.gonzalez@example.com,22-06-2025 09:00,22-06-2025 11:14,987654321,Power Query in Excel,Jay Sudha,Attendee
Emma,Williams,emma.williams@example.com,22-06-2025 09:08,22-06-2025 10:51,987654321,Power Query in Excel,Jay Sudha,Attendee
Alexander,Wilson,alexander.wilson@example.com,22-06-2025 09:28,22-06-2025 11:44,987654321,Power Query in Excel,Jay Sudha,Attendee
Charlotte,Johnson,charlotte.johnson@example.com,22-06-2025 09:28,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Alexander,Davis,alexander.davis@example.com,22-06-2025 09:27,22-06-2025 11:39,987654321,Power Query in Excel,Jay Sudha,Attendee
Elijah,Wilson,elijah.wilson@example.com,22-06-2025 09:24,22-06-2025 11:35,987654321,Power Query in Excel,Jay Sudha,Attendee
Mia,Lee,mia.lee@example.com,22-06-2025 09:22,22-06-2025 11:56,987654321,Power Query in Excel,Jay Sudha,Attendee
Charlotte,Taylor,charlotte.taylor@example.com,22-06-2025 09:01,22-06-2025 11:19,987654321,Power Query in Excel,Jay Sudha,Attendee
Noah,Martin,noah.martin@example.com,22-06-2025 09:00,22-06-2025 10:41,987654321,Power Query in Excel,Jay Sudha,Attendee
Isabella,Garcia,isabella.garcia@example.com,22-06-2025 09:27,22-06-2025 11:55,987654321,Power Query in Excel,Jay Sudha,Attendee
Emma,Moore,emma.moore@example.com,22-06-2025 09:11,22-06-2025 11:36,987654321,Power Query in Excel,Jay Sudha,Attendee
Emma,Brown,emma.brown@example.com,22-06-2025 09:06,22-06-2025 11:06,987654321,Power Query in Excel,Jay Sudha,Attendee
Ava,Martinez,ava.martinez@example.com,22-06-2025 09:27,22-06-2025 11:56,987654321,Power Query in Excel,Jay Sudha,Attendee
Charlotte,Thomas,charlotte.thomas@example.com,22-06-2025 09:22,22-06-2025 11:22,987654321,Power Query in Excel,Jay Sudha,Attendee
Ava,Moore,ava.moore@example.com,22-06-2025 09:21,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Michael,Miller,michael.miller@example.com,22-06-2025 09:12,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Ava,Gonzalez,ava.gonzalez@example.com,22-06-2025 09:08,22-06-2025 11:43,987654321,Power Query in Excel,Jay Sudha,Attendee
Emma,Miller,emma.miller@example.com,22-06-2025 09:14,22-06-2025 11:40,987654321,Power Query in Excel,Jay Sudha,Attendee
Alexander,Williams,alexander.williams@example.com,22-06-2025 09:15,22-06-2025 11:16,987654321,Power Query in Excel,Jay Sudha,Attendee
Isabella,Martin,isabella.martin@example.com,22-06-2025 09:28,22-06-2025 11:29,987654321,Power Query in Excel,Jay Sudha,Attendee
Michael,Wilson,michael.wilson@example.com,22-06-2025 09:08,22-06-2025 11:22,987654321,Power Query in Excel,Jay Sudha,Attendee
Michael,Martinez,michael.martinez@example.com,22-06-2025 09:23,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Mia,Gonzalez,mia.gonzalez@example.com,22-06-2025 09:21,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Lucas,Brown,lucas.brown@example.com,22-06-2025 09:12,22-06-2025 11:15,987654321,Power Query in Excel,Jay Sudha,Attendee
Ava,Thomas,ava.thomas@example.com,22-06-2025 09:07,22-06-2025 11:15,987654321,Power Query in Excel,Jay Sudha,Attendee
William,Thomas,william.thomas@example.com,22-06-2025 09:26,22-06-2025 11:54,987654321,Power Query in Excel,Jay Sudha,Attendee
James,Jackson,james.jackson@example.com,22-06-2025 09:09,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Lucas,Martin,lucas.martin@example.com,22-06-2025 09:04,22-06-2025 11:10,987654321,Power Query in Excel,Jay Sudha,Attendee
Charlotte,Gonzalez,charlotte.gonzalez@example.com,22-06-2025 09:04,22-06-2025 11:03,987654321,Power Query in Excel,Jay Sudha,Attendee
Noah,Wilson,noah.wilson@example.com,22-06-2025 09:16,22-06-2025 11:30,987654321,Power Query in Excel,Jay Sudha,Attendee
Liam,Davis,liam.davis@example.com,22-06-2025 09:08,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Liam,Davis,liam.davis@example.com,22-06-2025 09:12,22-06-2025 11:54,987654321,Power Query in Excel,Jay Sudha,Attendee
James,Jones,james.jones@example.com,22-06-2025 09:01,22-06-2025 11:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Sophia,Brown,sophia.brown@example.com,22-06-2025 09:29,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Mia,Wilson,mia.wilson@example.com,22-06-2025 09:16,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
William,Davis,william.davis@example.com,22-06-2025 09:20,22-06-2025 11:18,987654321,Power Query in Excel,Jay Sudha,Attendee
Olivia,Garcia,olivia.garcia@example.com,22-06-2025 09:22,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Elijah,Wilson,elijah.wilson@example.com,22-06-2025 09:06,22-06-2025 11:48,987654321,Power Query in Excel,Jay Sudha,Attendee
Evelyn,Lee,evelyn.lee@example.com,22-06-2025 09:26,22-06-2025 11:07,987654321,Power Query in Excel,Jay Sudha,Attendee
Liam,Davis,liam.davis@example.com,22-06-2025 09:01,22-06-2025 11:50,987654321,Power Query in Excel,Jay Sudha,Attendee
William,Hernandez,william.hernandez@example.com,22-06-2025 09:20,22-06-2025 11:05,987654321,Power Query in Excel,Jay Sudha,Attendee
Elijah,Anderson,elijah.anderson@example.com,22-06-2025 09:08,22-06-2025 11:37,987654321,Power Query in Excel,Jay Sudha,Attendee
James,Wilson,james.wilson@example.com,22-06-2025 09:22,22-06-2025 11:40,987654321,Power Query in Excel,Jay Sudha,Attendee
Mia,Wilson,mia.wilson@example.com,22-06-2025 09:03,22-06-2025 11:42,987654321,Power Query in Excel,Jay Sudha,Attendee
Amelia,Brown,amelia.brown@example.com,22-06-2025 09:07,22-06-2025 11:39,987654321,Power Query in Excel,Jay Sudha,Attendee
William,Smith,william.smith@example.com,22-06-2025 09:02,22-06-2025 10:42,987654321,Power Query in Excel,Jay Sudha,Attendee
Evelyn,Miller,evelyn.miller@example.com,22-06-2025 09:29,22-06-2025 11:21,987654321,Power Query in Excel,Jay Sudha,Attendee
Alexander,Williams,alexander.williams@example.com,22-06-2025 09:28,22-06-2025 11:25,987654321,Power Query in Excel,Jay Sudha,Attendee
Henry,Gonzalez,henry.gonzalez@example.com,22-06-2025 09:15,22-06-2025 11:01,987654321,Power Query in Excel,Jay Sudha,Attendee
Ava,Brown,ava.brown@example.com,22-06-2025 09:12,22-06-2025 11:55,987654321,Power Query in Excel,Jay Sudha,Attendee
Amelia,Lopez,amelia.lopez@example.com,22-06-2025 09:08,22-06-2025 11:44,987654321,Power Query in Excel,Jay Sudha,Attendee
Amelia,Moore,amelia.moore@example.com,22-06-2025 09:15,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
James,Lopez,james.lopez@example.com,22-06-2025 09:26,22-06-2025 11:41,987654321,Power Query in Excel,Jay Sudha,Attendee
Harper,Lee,harper.lee@example.com,22-06-2025 09:02,22-06-2025 10:55,987654321,Power Query in Excel,Jay Sudha,Attendee
Sophia,Smith,sophia.smith@example.com,22-06-2025 09:05,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Harper,Jones,harper.jones@example.com,22-06-2025 09:26,22-06-2025 11:31,987654321,Power Query in Excel,Jay Sudha,Attendee
Olivia,Anderson,olivia.anderson@example.com,22-06-2025 09:27,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Liam,Williams,liam.williams@example.com,22-06-2025 09:17,22-06-2025 11:52,987654321,Power Query in Excel,Jay Sudha,Attendee
Ava,Williams,ava.williams@example.com,22-06-2025 09:21,22-06-2025 11:52,987654321,Power Query in Excel,Jay Sudha,Attendee
