EMPLOYEE_ID,FIRST_NAME,LAST_NAME,COUNTRY,GENDER,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_TITLE,SALARY,DEPARTMENT,,
4758985,Orla,Walsh,UK,Female,Matthew.Weiss@company.com,650.123.1234,38186,Stock Manager,8000,Shipping,,
4758986,Manav,Joshi,India,Male,Adam.Fripp@company.com,650.123.2234,38452,Stock Manager,8200,Shipping,,
4758987,Bella,Rose,UK,Female,Payam.Kaufling@company.com,650.123.3234,37742,Stock Manager,7900,Shipping,,
4758988,Tanya,Das,India,Female,Shanta.Vollman@company.com,650.123.4234,38635,Stock Manager,6500,Shipping,,
4758989,Francesca,Robinson,UK,Female,Kevin.Mourgos@company.com,650.123.5234,39402,Stock Manager,5800,Shipping,,
4758990,Evelyn,Coleman,UK,Female,Julia.Nayer@company.com,650.124.1214,38549,Stock Clerk,3200,Shipping,,
4758991,Millie,Matthews,UK,Female,Irene.Mikkilineni@company.com,650.124.1224,38988,Stock Clerk,2700,Shipping,,
4758992,Veer,Menon,India,Male,James.Landry@company.com,650.124.1334,39096,Stock Clerk,2400,Shipping,,
4758993,Oliver,Smith,UK,Male,Steven.Markle@company.com,650.124.1434,39515,Stock Clerk,2200,Shipping,,
4758994,Jack,Walker,UK,Male,Laura.Bissot@company.com,650.124.5234,38584,Stock Clerk,3300,Shipping,,
4758995,Holly,Harris,UK,Female,Mozhe.Atkinson@company.com,650.124.6234,38655,Stock Clerk,2800,Shipping,,
4758996,Shruti,Mehta,India,Female,James.Marlow@company.com,650.124.7234,38399,Stock Clerk,2500,Shipping,,
4758997,Ankita,Narayan,India,Female,TJ.Olson@company.com,650.124.8234,39182,Stock Clerk,2100,Shipping,,
4758998,Matilda,Webb,UK,Female,Jason.Mallin@company.com,650.127.1934,38152,Stock Clerk,3300,Shipping,,
4758999,Kavya,Narayan,India,Female,Michael.Rogers@company.com,650.127.1834,38955,Stock Clerk,2900,Shipping,,
4759000,Neha,Jain,India,Female,Ki.Gee@company.com,650.127.1734,39428,Stock Clerk,2400,Shipping,,
4759001,Varun,Rao,India,Male,Hazel.Philtanker@company.com,650.127.1634,39484,Stock Clerk,2200,Shipping,,
4759002,Theo,Hughes,UK,Male,Renske.Ladwig@company.com,650.121.1234,37816,Stock Clerk,3600,Shipping,,
4759003,Diya,Reddy,India,Female,Stephen.Stiles@company.com,650.121.2034,38651,Stock Clerk,3200,Shipping,,
4759004,Aaryan,Desai,India,Male,John.Seo@company.com,650.121.2019,38760,Stock Clerk,2700,Shipping,,
4759005,Neha,Shetty,India,Female,Joshua.Patel@company.com,650.121.1834,38813,Stock Clerk,2500,Shipping,,
4759006,Kavitha,Shetty,India,Female,Trenna.Rajs@company.com,650.121.8009,37911,Stock Clerk,3500,Shipping,,
4759007,Mia,Adams,UK,Female,Curtis.Davies@company.com,650.121.2994,38381,Stock Clerk,3100,Shipping,,
4759008,Evie,Edwards,UK,Female,Randall.Matos@company.com,650.121.2874,38791,Stock Clerk,2600,Shipping,,
4759009,Vikram,Joshi,India,Male,Peter.Vargas@company.com,650.121.2004,38907,Stock Clerk,2500,Shipping,,
4759010,Clara,Webb,UK,Female,John.Russell@company.com,011.44.1344.429268,38261,Sales Manager,14000,Sales,,
4759011,Lottie,Ellis,UK,Female,Karen.Partners@company.com,011.44.1344.467268,38357,Sales Manager,13500,Sales,,
4759012,Ruby,Scott,UK,Female,Alberto.Errazuriz@company.com,011.44.1344.429278,38421,Sales Manager,12000,Sales,,
4759013,Georgia,Mason,UK,Female,Gerald.Cambrault@company.com,011.44.1344.619268,39370,Sales Manager,11000,Sales,,
4759014,Anushka,Chatterjee,India,Female,Eleni.Zlotkey@company.com,011.44.1344.429018,39476,Sales Manager,10500,Sales,,
4759015,Eshan,Mohan,India,Male,Peter.Tucker@company.com,011.44.1344.129268,38382,Sales Representative,10000,Sales,,
4759016,Lucy,Ford,UK,Female,David.Bernstein@company.com,011.44.1344.345268,38435,Sales Representative,9500,Sales,,
4759017,Kavitha,Krishnan,India,Female,Peter.Hall@company.com,011.44.1344.478968,38584,Sales Representative,9000,Sales,,
4759018,Alice,Lewis,UK,Female,Christopher.Olsen@company.com,011.44.1344.498718,38806,Sales Representative,8000,Sales,,
4759019,Manan,Iyer,India,Male,Nanette.Cambrault@company.com,011.44.1344.987668,39060,Sales Representative,7500,Sales,,
4759020,James,White,UK,Male,Oliver.Tuvault@company.com,011.44.1344.486508,39409,Sales Representative,7000,Sales,,
4759021,Sanjay,Ramesh,India,Male,Janette.King@company.com,011.44.1345.429268,38016,Sales Representative,10000,Sales,,
4759022,Leo,King,UK,Male,Patrick.Sully@company.com,011.44.1345.929268,38050,Sales Representative,9500,Sales,,
4759023,Krishna,Ghosh,India,Male,Allan.McEwen@company.com,011.44.1345.829268,38200,Sales Representative,9000,Sales,,
4759024,Ananya,Iyer,India,Female,Lindsey.Smith@company.com,011.44.1345.729268,38421,Sales Representative,8000,Sales,,
4759025,Vanya,Deshmukh,India,Female,Louise.Doran@company.com,011.44.1345.629268,38701,Sales Representative,7500,Sales,,
4759026,Erin,Knight,UK,Female,Sarath.Sewall@company.com,011.44.1345.529268,39024,Sales Representative,7000,Sales,,
4759027,Yash,Desai,India,Male,Clara.Vishney@company.com,011.44.1346.129268,38667,Sales Representative,10500,Sales,,
4759028,Felicity,Clarke,UK,Female,Danielle.Greene@company.com,011.44.1346.229268,39160,Sales Representative,9500,Sales,,
4759029,Milly,Moore,UK,Female,Mattea.Marvins@company.com,011.44.1346.329268,39471,Sales Representative,7200,Sales,,
4759030,Tabitha,Carter,UK,Female,David.Lee@company.com,011.44.1346.529268,39501,Sales Representative,6800,Sales,,
4759031,Layla,Bailey,UK,Female,Sundar.Ande@company.com,011.44.1346.629268,39531,Sales Representative,6400,Sales,,
4759032,Rohan,Das,India,Male,Amit.Banda@company.com,011.44.1346.729268,39559,Sales Representative,6200,Sales,,
4759033,Madeline,Wood,UK,Female,Lisa.Ozer@company.com,011.44.1343.929268,38422,Sales Representative,11500,Sales,,
4759034,Molly,Fox,UK,Female,Harrison.Bloom@company.com,011.44.1343.829268,38799,Sales Representative,10000,Sales,,
4759035,Yash,Ghosh,India,Male,Tayler.Fox@company.com,011.44.1343.729268,38741,Sales Representative,9600,Sales,,
4759036,Ria,Prakash,India,Female,William.Smith@company.com,011.44.1343.629268,39136,Sales Representative,7400,Sales,,
4759037,Parth,Batra,India,Male,Elizabeth.Bates@company.com,011.44.1343.529268,39165,Sales Representative,7300,Sales,,
4759038,Florence,Jenkins,UK,Female,Sundita.Kumar@company.com,011.44.1343.329268,39559,Sales Representative,6100,Sales,,
4759039,Shreya,Banerjee,India,Female,Ellen.Abel@company.com,011.44.1644.429267,38118,Sales Representative,11000,Sales,,
4759040,Bethany,Wilson,UK,Female,Alyssa.Hutton@company.com,011.44.1644.429266,38430,Sales Representative,8800,Sales,,
4759041,Poppy,Hughes,UK,Female,Jonathon.Taylor@company.com,011.44.1644.429265,38800,Sales Representative,8600,Sales,,
4759042,Kunal,Verma,India,Male,Jack.Livingston@company.com,011.44.1644.429264,38830,Sales Representative,8400,Sales,,
4759043,Anjali,Kapoor,India,Female,Kimberely.Grant@company.com,011.44.1644.429263,39226,Sales Representative,7000,Sales,,
4759044,Thomas,Allen,UK,Male,Charles.Johnson@company.com,011.44.1644.429262,39451,Sales Representative,6200,Sales,,
4759045,Sahil,Kulkarni,India,Male,Winston.Taylor@company.com,650.507.9876,38741,Shipping Clerk,3200,Shipping,,
4759046,Scarlett,Turner,UK,Female,Jean.Fleaur@company.com,650.507.9877,38771,Shipping Clerk,3100,Shipping,,
4759047,Raghav,Chaudhary,India,Male,Martha.Sullivan@company.com,650.507.9878,39254,Shipping Clerk,2500,Shipping,,
4759048,Amelia,Brown,UK,Female,Girard.Geoni@company.com,650.507.9879,39481,Shipping Clerk,2800,Shipping,,
4759049,Aarush,Verma,India,Male,Nandita.Sarchand@company.com,650.509.1876,38013,Shipping Clerk,4200,Shipping,,
4759050,Veer,Malhotra,India,Male,Alexis.Bull@company.com,650.509.2876,38403,Shipping Clerk,4100,Shipping,,
4759051,Zoe,Reed,UK,Female,Julia.Dellinger@company.com,650.509.3876,38892,Shipping Clerk,3400,Shipping,,
4759052,Ava,Morgan,UK,Female,Anthony.Cabrio@company.com,650.509.4876,39120,Shipping Clerk,3000,Shipping,,
4759053,Aditi,Sharma,India,Female,Kelly.Chung@company.com,650.505.1876,38517,Shipping Clerk,3800,Shipping,,
4759054,Freya,Green,UK,Female,Jennifer.Dilly@company.com,650.505.2876,38577,Shipping Clerk,3600,Shipping,,
4759055,Grace,Bell,UK,Female,Timothy.Gates@company.com,650.505.3876,38909,Shipping Clerk,2900,Shipping,,
4759056,Chloe,Brooks,UK,Female,Randall.Perkins@company.com,650.505.4876,39435,Shipping Clerk,2500,Shipping,,
4759057,Annabelle,Parker,UK,Female,Sarah.Bell@company.com,650.501.1876,38021,Shipping Clerk,4000,Shipping,,
4759058,Arlo,Fisher,UK,Male,Britney.Everett@company.com,650.501.2876,38414,Shipping Clerk,3900,Shipping,,
4759059,Rohan,Reddy,India,Male,Samuel.McCain@company.com,650.501.3876,38899,Shipping Clerk,3200,Shipping,,
4759060,Aditya,Kapoor,India,Male,Vance.Jones@company.com,650.501.4876,39158,Shipping Clerk,2800,Shipping,,
4759061,Ivy,Watson,UK,Female,Alana.Walsh@company.com,650.507.9811,38831,Shipping Clerk,3100,Shipping,,
4759062,Aryan,Sharma,India,Male,Kevin.Feeney@company.com,650.507.9822,38860,Shipping Clerk,3000,Shipping,,
4759063,Holly,Carter,UK,Female,Donald.OConnell@company.com,650.507.9833,39254,Shipping Clerk,2600,Shipping,,
4759064,Shreya,Gupta,India,Female,Douglas.Grant@company.com,650.507.9844,39460,Shipping Clerk,2600,Shipping,,
4759065,Karan,Basu,India,Male,Jennifer.Whalen@company.com,515.123.4444,37881,Administration Assistant,4400,Administration,,
4759066,Isla,Evans,UK,Female,Michael.Hartstein@company.com,515.123.5555,38034,Marketing Manager,13000,Marketing,,
4759067,Ada,Cook,UK,Female,Pat.Fay@company.com,603.123.6666,38581,Marketing Representative,6000,Marketing,,
4759068,Phoebe,Russell,UK,Female,Susan.Mavris@company.com,515.123.7777,37414,Human Resources Representative,6500,Human Resources,,
4759069,Aarushi,Saxena,India,Female,Hermann.Baer@company.com,515.123.8888,37414,Public Relations Representative,10000,Public Relations,,
4759070,Eleanor,Bennett,UK,Female,Shelley.Higgins@company.com,515.123.8080,37414,Accounting Manager,12008,Accounting,,
4759071,Aurora,Edwards,UK,Female,William.Gietz@company.com,515.123.8181,37414,Public Accountant,8300,Accounting,,
4759072,Henry,Moore,UK,Male,,,,,,,,
4759073,Ishita,Mehta,India,Female,,,,,,,,
4759074,Divya,Iyer,India,Female,,,,,,,,
4759075,Tanvi,Krishnan,India,Female,,,,,,,,
4759076,Arjun,Acharya,India,Male,,,,,,,,
4759077,Amit,Bhattacharya,India,Male,,,,,,,,
4759078,Summer,Kelly,UK,Female,,,,,,,,
4759079,Esme,Watson,UK,Female,,,,,,,,
4759080,Noah,Davies,UK,Male,,,,,,,,
4759081,Elsie,Collins,UK,Female,,,,,,,,
4759082,Kavitha,Choudhary,India,Female,,,,,,,,
4759083,Pippa,Ross,UK,Female,,,,,,,,
4759084,Akshay,Rao,India,Male,,,,,,,,
4759085,George,Wilson,UK,Male,,,,,,,,
4759086,Aditi,Kulkarni,India,Female,,,,,,,,
4759087,Harriet,Hunt,UK,Female,,,,,,,,
4759088,Suraj,Pillai,India,Male,,,,,,,,
4759089,Aarav,Menon,India,Male,,,,,,,,
4759090,Ishaan,Sethi,India,Male,,,,,,,,
4759091,Manan,Sharma,India,Male,,,,,,,,
4759092,Kavya,Ramesh,India,Female,,,,,,,,
4759093,Dhruv,Mishra,India,Male,,,,,,,,
4759094,Omkar,Saxena,India,Male,,,,,,,,
4759095,Rose,Griffin,UK,Female,,,,,,,,
4759096,Arjun,Reddy,India,Male,,,,,,,,
4759097,Harsh,Gupta,India,Male,,,,,,,,
4759098,Ananya,Balakrishnan,India,Female,,,,,,,,
4759099,Imogen,Ward,UK,Female,,,,,,,,
4759100,Harry,Johnson,UK,Male,,,,,,,,
4759101,Penelope,James,UK,Female,,,,,,,,
4759102,Lily,Wright,UK,Female,,,,,,,,
4759103,Shruti,Malhotra,India,Female,,,,,,,,
4759104,Rohit,Mishra,India,Male,,,,,,,,
4759105,Arjun,Singh,India,Male,,,,,,,,
4759106,Annalise,Russell,UK,Female,,,,,,,,
4759107,Willow,Sanders,UK,Female,,,,,,,,
4759108,Nia,Roy,India,Female,,,,,,,,
4759109,Kavitha,Das,India,Female,,,,,,,,
4759110,Kavya,Reddy,India,Female,,,,,,,,
4759111,Harriet,Bell,UK,Female,,,,,,,,
4759112,Isabella,Young,UK,Female,,,,,,,,
4759113,Daisy,Hunt,UK,Female,,,,,,,,
4759114,Bonnie,Fisher,UK,Female,,,,,,,,
